,State,District,Candidate,Party,Incumbent/Challenger/Open,Receipts 18m,Contributions from Individuals 18m,Contributions from PACs and Other Committees 18m,Contributions and Loans from the Candidate 18m,Disbursements 18m,Cash On Hand,Debts 18m,Coverage End Date
0,Alabama,01,"CALLAHAN, HERBERT L",Republican Party,Incumbent,257927,114203,129700,0,142460,217207,0,1990-06-30 00:00:00
1,Alabama,02,"DICKINSON, WILLIAM LOUIS",Republican Party,Incumbent,231924,75664,124850,0,233622,419670,0,1990-06-30 00:00:00
2,Alabama,02,"BAGGIANO, FAYE S",Democratic Party,Challenger,90050,16329,47300,16546,47480,42569,26535,1990-06-30 00:00:00
3,Alabama,03,"ADAMS, CHARLES H",Democratic Party,Open,277954,122590,19400,0,276975,978,55000,1990-06-30 00:00:00
4,Alabama,03,"DIAL, GERALD OSCAR",Democratic Party,Open,108460,22420,14750,71290,108459,0,40894,1990-06-30 00:00:00
5,Alabama,03,"FORD, JOHNNY",Democratic Party,Open,94150,72705,20375,515,94150,0,0,1989-12-31 00:00:00
6,Alabama,03,"HOLMES, DONALD G",Democratic Party,Open,69328,26578,2750,40000,69328,0,0,1989-07-31 00:00:00
7,Alabama,03,"JAMES, MICHAEL K",Republican Party,Open,59767,32095,5750,20000,59766,0,0,1989-06-30 00:00:00
8,Alabama,03,"PREUITT, JAMES E",Democratic Party,Open,370910,35460,10450,315000,370771,137,285000,1990-06-30 00:00:00
9,Alabama,03,"RICE, JOHN",Republican Party,Open,471297,240497,112750,32000,467297,0,62846,1989-12-31 00:00:00
10,Alabama,03,"ROBBINS, RAY F II",Republican Party,Open,78242,25217,250,21000,78242,0,0,1989-12-31 00:00:00
11,Alabama,03,"BROWDER, JOHN GLEN",Democratic Party,Incumbent,797985,237703,491725,16500,694183,103803,6184,1990-06-30 00:00:00
12,Alabama,03,"EVANS, CHARLES RAY",Unknown,Challenger,20,0,0,20,20,0,0,1989-05-03 00:00:00
13,Alabama,03,"SLEDGE, DON",Republican Party,Challenger,11458,8824,100,2534,9240,2218,0,1990-06-30 00:00:00
14,Alabama,04,"BEVILL, TOM",Democratic Party,Incumbent,169831,16940,79650,0,116445,567033,0,1990-06-30 00:00:00
15,Alabama,05,"ASQUITH, JAMES EDWARD",Republican Party,Open,3103,2101,0,1000,2765,336,0,1990-06-30 00:00:00
16,Alabama,05,"CRAMER, ROBERT E JR",Democratic Party,Open,364280,204748,71032,88500,347649,16629,94444,1990-06-30 00:00:00
17,Alabama,05,"FROST, JAMES EDDIE",Democratic Party,Open,70611,63761,6750,0,70406,204,0,1990-06-30 00:00:00
18,Alabama,05,"GREER, BAYLESS LYNN",Democratic Party,Open,213374,86848,60700,65726,205782,7591,46837,1990-06-30 00:00:00
19,Alabama,05,"MCDONALD, ALBERT CLYDE",Republican Party,Open,90732,64357,9800,11575,58704,32027,4400,1990-06-30 00:00:00
20,Alabama,05,"PRATT, EVELYN",Democratic Party,Open,56428,20135,5000,27293,56427,0,30543,1990-06-30 00:00:00
21,Alabama,05,"SPEARS, WILLIAM EARL",Democratic Party,Open,5050,0,0,5050,3402,1648,5050,1990-05-24 00:00:00
22,Alabama,05,"TERRY, GARLAND DOUGLAS",Democratic Party,Open,81335,33335,1500,46500,78901,2432,38500,1990-05-15 00:00:00
23,Alabama,05,"WELLS, ANNIE BULLARD",Republican Party,Open,12804,960,0,11844,9463,3340,10500,1990-05-21 00:00:00
24,Alabama,05,"WOOD, DAVID ANDREW",Democratic Party,Open,3000,0,0,3000,2527,472,0,1990-05-16 00:00:00
25,Alabama,06,"ERDREICH, BENJAMIN L",Democratic Party,Incumbent,191366,31060,136519,0,76276,354563,0,1990-06-30 00:00:00
26,Alabama,07,"HARRIS, CLAUDE JR",Democratic Party,Incumbent,160773,48097,106300,0,64201,175205,0,1990-06-30 00:00:00
27,Alabama,07,"BARKER, MICHAEL DEAN",Republican Party,Challenger,10829,6826,0,4000,9737,1091,4000,1990-06-30 00:00:00
28,Alaska,00,"YOUNG, DONALD E",Republican Party,Incumbent,282401,108721,172250,0,255947,35847,59361,1990-06-30 00:00:00
29,Alaska,00,"DEVENS, JOHN",Democratic Party,Challenger,96646,25629,6750,59547,86486,10160,43321,1990-06-30 00:00:00
30,American Samoa,00,"FALEOMAVAEGA, ENI FA'AUA'A HUNKIN",Democratic Party,Incumbent,36696,25505,8250,2900,30126,6846,24515,1990-06-30 00:00:00
31,Arizona ,01,"RHODES, JOHN JACOB III",Republican Party,Incumbent,215934,110335,104540,0,174841,47403,0,1990-06-30 00:00:00
32,Arizona ,01,"WRZESINSKI, JOHN T",Republican Party,Challenger,76869,11287,3720,58600,69726,7143,24500,1990-06-30 00:00:00
